,Country,Code,Year,Population (historical estimates),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes",Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,headcount_ratio_upper_mid_income_povline,headcount_ratio_1000
61,Albania,ALB,2016,2881064.0,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,39.9498910436282,72.34523375101686
62,Albania,ALB,2016,2881064.0,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,25.41382814979092,48.27662205631871
63,Albania,ALB,2016,2881064.0,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,41.50009775967017,62.18898214909576
69,Algeria,DZA,1995,28478024.0,12.5,0.24891958,4.193033,4.6305046,0.75633126,0.18593915,54.59161880224782,85.50964482226026
70,Algeria,DZA,1995,28478024.0,12.5,0.24891958,4.193033,4.6305046,0.75633126,0.18593915,61.10341868980961,81.14827314273029
86,Algeria,DZA,2011,36543548.0,22.2,0.24835047,4.0510716,4.670081,0.75636977,0.20148145,28.593149414062506,76.68977908288103
87,Algeria,DZA,2011,36543548.0,22.2,0.24835047,4.0510716,4.670081,0.75636977,0.20148145,36.574951171875,67.96515625
130,Angola,AGO,2000,16394067.0,3.0,0.21145953,5.90626,3.9771934,0.5537959,0.10227342,80.54871445737817,93.06696461079224
131,Angola,AGO,2000,16394067.0,3.0,0.21145953,5.90626,3.9771934,0.5537959,0.10227342,67.21181897238377,81.06966855355927
139,Angola,AGO,2008,21691524.0,4.6,0.21521844,5.7775226,3.9832327,0.55388284,0.116300575,82.92112596469661,95.6014835943098
140,Angola,AGO,2008,21691524.0,4.6,0.21521844,5.7775226,3.9832327,0.55388284,0.116300575,69.06348405756208,83.36846700002278
177,Argentina,ARG,1991,33105766.0,17.0,0.31062564,2.59628,5.06636,0.97761256,0.28488374,18.98641766658016,46.06502035567348
178,Argentina,ARG,1991,33105766.0,17.0,0.31062564,2.59628,5.06636,0.97761256,0.28488374,14.3213227916285,27.98179305711747
179,Argentina,ARG,1992,33568280.0,17.4,0.31051394,2.5996377,5.06241,0.97768486,0.2869326,18.37707408062406,44.65561229585742
180,Argentina,ARG,1992,33568280.0,17.4,0.31051394,2.5996377,5.06241,0.97768486,0.2869326,14.871609473437111,27.32617503751228
181,Argentina,ARG,1993,34027240.0,17.8,0.31043887,2.6029038,5.0600786,0.9777684,0.28832465,17.842961202941098,42.72729349676151
182,Argentina,ARG,1993,34027240.0,17.8,0.31043887,2.6029038,5.0600786,0.9777684,0.28832465,15.07040129767766,27.289254939590208
183,Argentina,ARG,1994,34488696.0,18.2,0.31039718,2.6075854,5.0591183,0.9778546,0.29146907,20.64288921657324,44.55991610895106
184,Argentina,ARG,1994,34488696.0,18.2,0.31039718,2.6075854,5.0591183,0.9778546,0.29146907,15.68235195038992,28.748989603216053
185,Argentina,ARG,1995,34946116.0,18.5,0.31038442,2.6101468,5.0594,0.9779409,0.29287174,24.55846635848486,49.30150857123335
186,Argentina,ARG,1995,34946116.0,18.5,0.31038442,2.6101468,5.0594,0.9779409,0.29287174,20.47920416906493,33.886659532664524
187,Argentina,ARG,1996,35389360.0,18.9,0.3104554,2.6141539,5.0627203,0.9780294,0.29576775,26.30922158300912,50.50961009634234
