,Country,Code,Year,Population (historical estimates),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes",Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,headcount_ratio_upper_mid_income_povline,headcount_ratio_1000
1834,Dominican Republic,DOM,2007,9402209.0,19.4,0.27227417,3.9506974,4.4379125,0.91063756,0.1972053,34.5621353446681,64.10201338546885
1835,Dominican Republic,DOM,2007,9402209.0,19.4,0.27227417,3.9506974,4.4379125,0.91063756,0.1972053,44.25770907920174,63.75771375305077
1836,Dominican Republic,DOM,2008,9522954.0,20.2,0.27275515,3.9292269,4.449831,0.91053385,0.19951643,35.74059539609048,64.79020414234283
1837,Dominican Republic,DOM,2008,9522954.0,20.2,0.27275515,3.9292269,4.449831,0.91053385,0.19951643,45.862047360129374,64.37717138548781
1838,Dominican Republic,DOM,2009,9648061.0,21.0,0.273201,3.9091845,4.46074,0.91044784,0.20186532,32.5329220535493,61.967699438264965
1839,Dominican Republic,DOM,2009,9648061.0,21.0,0.273201,3.9091845,4.46074,0.91044784,0.20186532,42.86076563113052,61.588913734384285
1840,Dominican Republic,DOM,2010,9775756.0,21.8,0.27352464,3.89255,4.4672446,0.91037506,0.20408584,32.90207981004602,60.56553772071639
1841,Dominican Republic,DOM,2010,9775756.0,21.8,0.27352464,3.89255,4.4672446,0.91037506,0.20408584,43.66839361666087,59.96849110611284
1842,Dominican Republic,DOM,2011,9903743.0,22.7,0.27382657,3.8736737,4.471896,0.91031206,0.20628425,30.9639806940043,59.899944810563646
1843,Dominican Republic,DOM,2011,9903743.0,22.7,0.27382657,3.8736737,4.471896,0.91031206,0.20628425,41.63667651941953,59.53248373598231
1844,Dominican Republic,DOM,2012,10030885.0,23.5,0.2742266,3.848534,4.478646,0.9102588,0.20789868,30.77845958570895,60.71360426613038
1845,Dominican Republic,DOM,2012,10030885.0,23.5,0.2742266,3.848534,4.478646,0.9102588,0.20789868,41.23925688888156,60.46498018796195
1846,Dominican Republic,DOM,2013,10157054.0,24.3,0.27466854,3.8197856,4.485924,0.91021657,0.21039866,29.85189769145132,59.854109999632975
1847,Dominican Republic,DOM,2013,10157054.0,24.3,0.27466854,3.8197856,4.485924,0.91021657,0.21039866,40.50855561763158,59.29689379697332
1848,Dominican Republic,DOM,2014,10282116.0,25.2,0.2750951,3.7958152,4.4920454,0.910187,0.21320459,25.15235443083969,55.01889984244244
1849,Dominican Republic,DOM,2014,10282116.0,25.2,0.2750951,3.7958152,4.4920454,0.910187,0.21320459,34.771460783710104,54.472030756528646
1850,Dominican Republic,DOM,2015,10405832.0,26.0,0.27545208,3.786363,4.4953833,0.9101655,0.21582673,21.75581076530304,50.440338604668646
1851,Dominican Republic,DOM,2015,10405832.0,26.0,0.27545208,3.786363,4.4953833,0.9101655,0.21582673,30.352531773300363,50.09013684507349
1852,Dominican Republic,DOM,2016,10527589.0,26.9,0.2760968,3.7861633,4.4905167,0.91014826,0.2196807,19.93642094484219,47.09514526378128
1853,Dominican Republic,DOM,2016,10527589.0,26.9,0.2760968,3.7861633,4.4905167,0.91014826,0.2196807,28.73057286016123,46.61737144181352
1939,Ecuador,ECU,1994,11347655.0,9.7,0.27115792,3.28611,5.082544,0.9084554,0.24646893,60.883439545884976,82.63070855324767
1940,Ecuador,ECU,1994,11347655.0,9.7,0.27115792,3.28611,5.082544,0.9084554,0.24646893,64.87417275616829,78.81429250066329
1941,Ecuador,ECU,1995,11561683.0,10.1,0.2711766,3.288558,5.0811043,0.9084689,0.24654084,60.6027636563067,81.4974094738978
1942,Ecuador,ECU,1995,11561683.0,10.1,0.2711766,3.288558,5.0811043,0.9084689,0.24654084,64.4080015106429,78.66593338052562
1945,Ecuador,ECU,1998,12199692.0,11.2,0.2719953,3.3253288,5.1001854,0.90849775,0.2460696,60.80675825949707,82.26612233409952
1946,Ecuador,ECU,1998,12199692.0,11.2,0.2719953,3.3253288,5.1001854,0.90849775,0.2460696,64.31170167852738,78.36769214212985
1947,Ecuador,ECU,1999,12412056.0,11.6,0.27231315,3.3405862,5.1077743,0.90850335,0.24558333,63.4451013432086,83.32164562310751
1948,Ecuador,ECU,1999,12412056.0,11.6,0.27231315,3.3405862,5.1077743,0.90850335,0.24558333,67.77788370999377,79.61542255771246
1949,Ecuador,ECU,2000,12626511.0,12.0,0.27247846,3.3482025,5.1115184,0.90850216,0.24557704,72.71923531708805,88.63784011029955
1950,Ecuador,ECU,2000,12626511.0,12.0,0.27247846,3.3482025,5.1115184,0.90850216,0.24557704,75.9444525651681,86.1146830593888
1953,Ecuador,ECU,2003,13301188.0,13.3,0.27247354,3.3620048,5.1057415,0.90848345,0.24779084,53.80147913878328,77.06150853976185
1954,Ecuador,ECU,2003,13301188.0,13.3,0.27247354,3.3620048,5.1057415,0.90848345,0.24779084,57.76594094101938,72.76718687801102
1955,Ecuador,ECU,2004,13534598.0,13.7,0.27248323,3.3646739,5.103197,0.90846807,0.24917918,54.92273252145903,77.65296687413297
1956,Ecuador,ECU,2004,13534598.0,13.7,0.27248323,3.3646739,5.103197,0.90846807,0.24917918,58.88251677772264,73.46337814939898
1957,Ecuador,ECU,2005,13770015.0,14.1,0.27255198,3.3645496,5.102552,0.90845037,0.25033808,46.4781489443864,70.90656840977158
1958,Ecuador,ECU,2005,13770015.0,14.1,0.27255198,3.3645496,5.102552,0.90845037,0.25033808,50.64538120969517,66.43743342136588
1959,Ecuador,ECU,2006,14009064.0,14.6,0.27280945,3.363072,5.1049614,0.90842664,0.25259858,41.40936650567601,67.67637563592798
1960,Ecuador,ECU,2006,14009064.0,14.6,0.27280945,3.363072,5.1049614,0.90842664,0.25259858,45.83529497636904,62.2352861876124
1961,Ecuador,ECU,2007,14251838.0,15.0,0.27327847,3.3585632,5.11025,0.9083995,0.25467345,40.48974169811865,66.55968586745216
1962,Ecuador,ECU,2007,14251838.0,15.0,0.27327847,3.3585632,5.11025,0.9083995,0.25467345,44.8831421455127,61.65515300918408
1963,Ecuador,ECU,2008,14496800.0,15.4,0.2738299,3.3539047,5.1175632,0.9083754,0.25663987,38.36052993109355,65.26039279559922
1964,Ecuador,ECU,2008,14496800.0,15.4,0.2738299,3.3539047,5.1175632,0.9083754,0.25663987,42.29656250839049,60.00896964123099
1965,Ecuador,ECU,2009,14742768.0,15.9,0.27433988,3.3498144,5.1256685,0.90834725,0.2598128,38.33636588569203,66.57191903382346
1966,Ecuador,ECU,2009,14742768.0,15.9,0.27433988,3.3498144,5.1256685,0.90834725,0.2598128,43.15168120035442,61.14974295658128
1967,Ecuador,ECU,2010,14989581.0,16.3,0.27468234,3.3468227,5.133518,0.9083132,0.2627543,34.51742058558358,62.71064862372821
1968,Ecuador,ECU,2010,14989581.0,16.3,0.27468234,3.3468227,5.133518,0.9083132,0.2627543,38.754715302679536,56.81513471839503
1969,Ecuador,ECU,2011,15237734.0,16.8,0.27494526,3.3436587,5.1464357,0.9082741,0.26569536,30.193831808967108,57.94010339179595
1970,Ecuador,ECU,2011,15237734.0,16.8,0.27494526,3.3436587,5.1464357,0.9082741,0.26569536,34.689379677032726,51.92372560851828
1971,Ecuador,ECU,2012,15483884.0,17.3,0.27526292,3.341263,5.166718,0.90822977,0.26902258,27.57519357256774,54.72138284550007
1972,Ecuador,ECU,2012,15483884.0,17.3,0.27526292,3.341263,5.166718,0.90822977,0.26902258,31.459295820700977,48.59763458882095
1973,Ecuador,ECU,2013,15722988.0,17.8,0.27557677,3.3393662,5.1889415,0.9081829,0.27231848,27.22267428283912,54.802651860688655
1974,Ecuador,ECU,2013,15722988.0,17.8,0.27557677,3.3393662,5.1889415,0.9081829,0.27231848,31.22533250872088,48.84078340877055
1975,Ecuador,ECU,2014,15957995.0,18.3,0.27583277,3.3361611,5.2078395,0.9081343,0.27580678,23.848295593375628,52.86616355004416
1976,Ecuador,ECU,2014,15957995.0,18.3,0.27583277,3.3361611,5.2078395,0.9081343,0.27580678,27.60237886636901,46.1256218928648
1977,Ecuador,ECU,2015,16195904.0,18.8,0.2759743,3.3338869,5.218065,0.90808165,0.27871346,24.75249445536747,52.709739239275066
1978,Ecuador,ECU,2015,16195904.0,18.8,0.2759743,3.3338869,5.218065,0.90808165,0.27871346,28.798777755853948,46.95600503071879
1979,Ecuador,ECU,2016,16439588.0,19.3,0.2758114,3.33239,5.2148705,0.90796834,0.28207183,24.02341496666843,53.00326491765389
1980,Ecuador,ECU,2016,16439588.0,19.3,0.2758114,3.33239,5.2148705,0.90796834,0.28207183,28.16440606537846,46.58513646957632
1981,Egypt,EGY,1990,57214632.0,16.5,0.24535134,3.7920954,4.415513,0.72433305,0.15812328,78.84044475643245,95.33639461106284
1982,Egypt,EGY,1990,57214632.0,16.5,0.24535134,3.7920954,4.415513,0.72433305,0.15812328,78.86615079439507,91.83527129329744
1987,Egypt,EGY,1995,64166908.0,18.7,0.24561276,3.8702178,4.4114027,0.72451586,0.1623022,81.81663628445756,96.26323403733086
1988,Egypt,EGY,1995,64166908.0,18.7,0.24561276,3.8702178,4.4114027,0.72451586,0.1623022,81.84079141422592,93.37925562982844
1992,Egypt,EGY,1999,69907888.0,20.5,0.24648769,3.7450073,3.961074,0.7246296,0.16744646,70.36946044921875,93.59569588409416
1993,Egypt,EGY,1999,69907888.0,20.5,0.24648769,3.7450073,3.961074,0.7246296,0.16744646,70.39386962890626,88.62185875373156
1998,Egypt,EGY,2004,77522424.0,22.9,0.24618259,3.749454,3.9235525,0.7247318,0.17370944,77.72298923345144,94.49971327083662
1999,Egypt,EGY,2004,77522424.0,22.9,0.24618259,3.749454,3.9235525,0.7247318,0.17370944,77.74546638352476,90.94969742046798
2003,Egypt,EGY,2008,83844784.0,25.2,0.24640469,3.742725,4.282255,0.72471803,0.18099098,77.43038266832278,94.82501666099562
2004,Egypt,EGY,2008,83844784.0,25.2,0.24640469,3.742725,4.282255,0.72471803,0.18099098,77.45104811012644,91.28697669439816
2006,Egypt,EGY,2010,87252416.0,26.5,0.24661826,3.737595,4.493589,0.72464406,0.18514201,70.53496011015315,93.31315776521797
2007,Egypt,EGY,2010,87252416.0,26.5,0.24661826,3.737595,4.493589,0.72464406,0.18514201,70.56709850872475,88.08424787409379
2009,Egypt,EGY,2012,91240384.0,27.9,0.24683838,3.7997007,4.534659,0.7245236,0.18861686,67.74683052294668,93.36802707918424
2010,Egypt,EGY,2012,91240384.0,27.9,0.24683838,3.7997007,4.534659,0.7245236,0.18861686,67.76941795539501,88.16388344065422
2013,Egypt,EGY,2015,97723792.0,30.2,0.2471659,3.917347,4.569759,0.72426695,0.19393303,64.3740275716135,91.47524287460188
2014,Egypt,EGY,2015,97723792.0,30.2,0.2471659,3.917347,4.569759,0.72426695,0.19393303,64.45801200326937,85.59004597264565
2017,El Salvador,SLV,1991,5461074.0,9.6,0.26287833,3.7102919,4.21461,0.8239666,0.15678358,60.61845846199484,81.92173511990399
2018,El Salvador,SLV,1991,5461074.0,9.6,0.26287833,3.7102919,4.21461,0.8239666,0.15678358,65.86246167878839,79.26839532024265
2022,El Salvador,SLV,1995,5748201.0,11.4,0.26343587,3.6920094,4.2338767,0.82487553,0.1612318,51.42798372211968,78.15724906787639
2023,El Salvador,SLV,1995,5748201.0,11.4,0.26343587,3.6920094,4.2338767,0.82487553,0.1612318,58.242900664902486,75.10205178382144
2024,El Salvador,SLV,1996,5797142.0,11.9,0.26377052,3.6808152,4.2362294,0.825097,0.1624954,52.95823252918027,77.85620104338406
2025,El Salvador,SLV,1996,5797142.0,11.9,0.26377052,3.6808152,4.2362294,0.825097,0.1624954,59.68304452041886,74.66577577433644
2027,El Salvador,SLV,1998,5885085.0,13.0,0.26498199,3.6410363,4.238374,0.8255096,0.16595158,52.50643451993594,76.01013818032361
2028,El Salvador,SLV,1998,5885085.0,13.0,0.26498199,3.6410363,4.238374,0.8255096,0.16595158,57.9021084173796,73.18521476385041
2029,El Salvador,SLV,1999,5923862.0,13.6,0.26552013,3.617932,4.239908,0.8257073,0.16760014,50.42136442679005,74.07039439314197
2030,El Salvador,SLV,1999,5923862.0,13.6,0.26552013,3.617932,4.239908,0.8257073,0.16760014,55.34491139833897,70.86071246117925
2031,El Salvador,SLV,2000,5958482.0,14.1,0.26578897,3.598476,4.2425714,0.8258825,0.16874944,45.06173876038875,70.65509405743542
2032,El Salvador,SLV,2000,5958482.0,14.1,0.26578897,3.598476,4.2425714,0.8258825,0.16874944,50.969184433621976,67.52709601616237
2033,El Salvador,SLV,2001,5988102.0,14.7,0.26577896,3.5801768,4.247578,0.82603735,0.17037202,46.86632310421131,71.69044640251066
2034,El Salvador,SLV,2001,5988102.0,14.7,0.26577896,3.5801768,4.247578,0.82603735,0.17037202,52.39803517035093,68.54183246060236
2035,El Salvador,SLV,2002,6011278.0,15.2,0.26565054,3.5598838,4.2545786,0.8261616,0.17130834,47.02011055095709,71.24410417231815
2036,El Salvador,SLV,2002,6011278.0,15.2,0.26565054,3.5598838,4.2545786,0.8261616,0.17130834,52.3657020608112,67.72916725395804
2037,El Salvador,SLV,2003,6026854.0,15.8,0.2654874,3.5396497,4.2628117,0.82626486,0.17237742,47.788784780207685,73.27571675081022
2038,El Salvador,SLV,2003,6026854.0,15.8,0.2654874,3.5396497,4.2628117,0.82626486,0.17237742,53.56392150844537,69.84852348003876
2039,El Salvador,SLV,2004,6035653.0,16.3,0.2653725,3.520169,4.2714963,0.82636064,0.17384973,45.55171310207492,71.78100682158966
2040,El Salvador,SLV,2004,6035653.0,16.3,0.2653725,3.520169,4.2714963,0.82636064,0.17384973,51.75257365361022,68.22152682704218
2041,El Salvador,SLV,2005,6037817.0,16.8,0.2653899,3.5070453,4.2795415,0.8264432,0.17508735,45.50784429149925,72.65843916947532
2042,El Salvador,SLV,2005,6037817.0,16.8,0.2653899,3.5070453,4.2795415,0.8264432,0.17508735,51.82211827083123,68.89025634623047
2043,El Salvador,SLV,2006,6034439.0,17.3,0.26573837,3.4916263,4.2905326,0.826508,0.17668656,42.83858389529443,73.46498377990567
2044,El Salvador,SLV,2006,6034439.0,17.3,0.26573837,3.4916263,4.2905326,0.826508,0.17668656,50.5011411272944,69.13188300197773
2045,El Salvador,SLV,2007,6044130.0,17.8,0.26641667,3.479851,4.3065796,0.8265507,0.17821002,39.625518302155285,71.01713278263966
2046,El Salvador,SLV,2007,6044130.0,17.8,0.26641667,3.479851,4.3065796,0.8265507,0.17821002,47.21842040019151,66.91988254316846
2047,El Salvador,SLV,2008,6068108.0,18.3,0.26720753,3.4672506,4.3245234,0.8265663,0.18078254,43.83791943164464,71.89166764371959
2048,El Salvador,SLV,2008,6068108.0,18.3,0.26720753,3.4672506,4.3245234,0.8265663,0.18078254,50.92157756352928,68.2831618707677
2049,El Salvador,SLV,2009,6091181.0,18.8,0.26789296,3.4569325,4.341396,0.8265618,0.18218514,43.49168102134048,73.90787752357771
2050,El Salvador,SLV,2009,6091181.0,18.8,0.26789296,3.4569325,4.341396,0.8265618,0.18218514,50.49992703221788,70.29286140551584
2051,El Salvador,SLV,2010,6114039.0,19.4,0.26825663,3.4494622,4.35401,0.82653445,0.18388423,42.07344268072003,72.32273425255444
2052,El Salvador,SLV,2010,6114039.0,19.4,0.26825663,3.4494622,4.35401,0.82653445,0.18388423,49.13237995264082,68.29221605140003
2053,El Salvador,SLV,2011,6137354.0,19.9,0.26832733,3.4408638,4.364949,0.826486,0.18553731,42.05976729108647,74.15098155855776
2054,El Salvador,SLV,2011,6137354.0,19.9,0.26832733,3.4408638,4.364949,0.826486,0.18553731,49.97260789285612,69.84101627455104
2055,El Salvador,SLV,2012,6161293.0,20.4,0.2683105,3.4341145,4.377914,0.8264442,0.18706387,39.4957379016904,72.48635158171773
2056,El Salvador,SLV,2012,6161293.0,20.4,0.2683105,3.4341145,4.377914,0.8264442,0.18706387,47.12325577745944,68.57224110118645
2057,El Salvador,SLV,2013,6185641.0,20.9,0.26825583,3.4246569,4.3909883,0.8264087,0.18815537,35.6401627470236,68.79618476723634
2058,El Salvador,SLV,2013,6185641.0,20.9,0.26825583,3.4246569,4.3909883,0.8264087,0.18815537,42.73407933941271,64.6440414121059
2059,El Salvador,SLV,2014,6209528.0,21.5,0.26821285,3.4197683,4.4023585,0.8263723,0.18953082,35.50465827826333,68.75951450833524
2060,El Salvador,SLV,2014,6209528.0,21.5,0.26821285,3.4197683,4.4023585,0.8263723,0.18953082,42.72025187725862,64.3702693270389
2061,El Salvador,SLV,2015,6231072.0,22.1,0.26823112,3.417986,4.410211,0.8263401,0.19112937,32.55194117478436,67.04752858633698
2062,El Salvador,SLV,2015,6231072.0,22.1,0.26823112,3.417986,4.410211,0.8263401,0.19112937,40.19542293213423,62.51169291390436
2063,El Salvador,SLV,2016,6250513.0,22.7,0.26868227,3.4224303,4.412546,0.82627296,0.19365184,31.379197097654888,65.45432781214558
2064,El Salvador,SLV,2016,6250513.0,22.7,0.26868227,3.4224303,4.412546,0.82627296,0.19365184,38.74194880074155,60.50345988634324
2122,Estonia,EST,1993,1504446.0,17.7,0.2799016,4.6397185,3.4261088,0.5242026,0.13620551,23.1254931640625,58.12825683593751
2123,Estonia,EST,1993,1504446.0,17.7,0.2799016,4.6397185,3.4261088,0.5242026,0.13620551,31.0584765625,53.96649169921874
2125,Estonia,EST,1995,1452777.0,18.2,0.27974793,4.6282387,3.42738,0.52430564,0.13526359,23.89157653961862,63.09345090550818
2126,Estonia,EST,1995,1452777.0,18.2,0.27974793,4.6282387,3.42738,0.52430564,0.13526359,32.359683602399194,58.34362847617146
2129,Estonia,EST,1998,1411151.0,18.7,0.28077754,4.6337795,3.4233758,0.52421737,0.13628809,19.95229980468749,53.993585990132445
2130,Estonia,EST,1998,1411151.0,18.7,0.28077754,4.6337795,3.4233758,0.52421737,0.13628809,27.30764078452872,49.761758482476246
2132,Estonia,EST,2000,1396881.0,19.1,0.28172174,4.6110983,3.416991,0.52398723,0.13708341,20.55320080342411,56.82076793660782
2133,Estonia,EST,2000,1396881.0,19.1,0.28172174,4.6110983,3.416991,0.52398723,0.13708341,28.2808971313571,52.1701998340131
2134,Estonia,EST,2001,1388000.0,19.3,0.28223783,4.5676255,3.4137337,0.5238947,0.13858351,21.75097715300828,59.40117422955748
2135,Estonia,EST,2001,1388000.0,19.3,0.28223783,4.5676255,3.4137337,0.5238947,0.13858351,30.768838707045493,55.00262203388417
2136,Estonia,EST,2002,1379241.0,19.5,0.28296098,4.4947023,3.4104583,0.5238303,0.14106695,21.35850850995161,57.73989413111429
2137,Estonia,EST,2002,1379241.0,19.5,0.28296098,4.4947023,3.4104583,0.5238303,0.14106695,28.8931910826634,53.28533859771891
2138,Estonia,EST,2003,1370663.0,19.7,0.28374738,4.407701,3.407465,0.5237933,0.14465371,19.34207129040425,54.92090313279236
2139,Estonia,EST,2003,1370663.0,19.7,0.28374738,4.407701,3.407465,0.5237933,0.14465371,12.0968291324022,38.69232093312378
2140,Estonia,EST,2003,1370663.0,19.7,0.28374738,4.407701,3.407465,0.5237933,0.14465371,27.34623356745934,50.4574517760562
2141,Estonia,EST,2003,1370663.0,19.7,0.28374738,4.407701,3.407465,0.5237933,0.14465371,16.90154489275517,33.46742835078521
2142,Estonia,EST,2004,1362489.0,19.9,0.28446034,4.3175564,3.4052083,0.52376205,0.14805767,14.407031906600851,46.19836353036307
2143,Estonia,EST,2004,1362489.0,19.9,0.28446034,4.3175564,3.4052083,0.52376205,0.14805767,8.16920477414324,28.026590354187142
2144,Estonia,EST,2004,1362489.0,19.9,0.28446034,4.3175564,3.4052083,0.52376205,0.14805767,20.56216918585944,41.51828736237287
2145,Estonia,EST,2004,1362489.0,19.9,0.28446034,4.3175564,3.4052083,0.52376205,0.14805767,10.89383105999831,24.51477445252593
2146,Estonia,EST,2005,1354665.0,20.2,0.2849605,4.2373924,3.4041467,0.5237266,0.15092017,5.4710533228535,20.31554309425678
2147,Estonia,EST,2005,1354665.0,20.2,0.2849605,4.2373924,3.4041467,0.5237266,0.15092017,7.61420957145667,17.70318477857541
2148,Estonia,EST,2006,1346711.0,20.4,0.28533807,4.164343,3.404995,0.52368826,0.15334122,3.1404094312140205,13.96301353967696
2149,Estonia,EST,2006,1346711.0,20.4,0.28533807,4.164343,3.404995,0.52368826,0.15334122,4.58787422208249,11.94648712825643
2150,Estonia,EST,2007,1340576.0,20.7,0.28575814,4.0846796,3.4073093,0.5236415,0.15566118,2.26971793432044,9.14215026332689
2151,Estonia,EST,2007,1340576.0,20.7,0.28575814,4.0846796,3.4073093,0.5236415,0.15566118,2.98143420659012,7.822795519723121
2152,Estonia,EST,2008,1337013.0,21.0,0.28618062,4.006606,3.4099624,0.52359354,0.15787074,2.21125951345321,9.34305860701006
2153,Estonia,EST,2008,1337013.0,21.0,0.28618062,4.006606,3.4099624,0.52359354,0.15787074,2.99789543371093,7.73717342068468
2154,Estonia,EST,2009,1334557.0,21.3,0.2865744,3.935889,3.411831,0.523532,0.15981692,2.90363696661079,10.91351396359682
2155,Estonia,EST,2009,1334557.0,21.3,0.2865744,3.935889,3.411831,0.523532,0.15981692,4.04210474326028,8.90174159875616
2156,Estonia,EST,2010,1331535.0,21.6,0.28690344,3.8816798,3.4118257,0.5234608,0.16171196,3.8830580833069104,14.24231977287771
2157,Estonia,EST,2010,1331535.0,21.6,0.28690344,3.8816798,3.4118257,0.5234608,0.16171196,5.75697576225579,12.31052352341118
2158,Estonia,EST,2011,1327435.0,22.0,0.28728718,3.834866,3.4097662,0.52339095,0.16400343,3.38641304992629,12.5220123499612
2159,Estonia,EST,2011,1327435.0,22.0,0.28728718,3.834866,3.4097662,0.52339095,0.16400343,4.70828822760227,10.91930702250036
2160,Estonia,EST,2012,1322682.0,22.3,0.2878109,3.7865093,3.4063754,0.52331436,0.16490607,3.48388970111285,10.96271854612352
2161,Estonia,EST,2012,1322682.0,22.3,0.2878109,3.7865093,3.4063754,0.52331436,0.16490607,4.10318757904171,9.92095497843508
2162,Estonia,EST,2013,1317985.0,22.7,0.28837815,3.7444758,3.4024174,0.5232407,0.16666701,3.51419478305796,11.1625359070093
2163,Estonia,EST,2013,1317985.0,22.7,0.28837815,3.7444758,3.4024174,0.5232407,0.16666701,4.233054152729309,9.88028223357336
2164,Estonia,EST,2014,1314531.0,23.0,0.2888969,3.7084172,3.3984056,0.52316594,0.16834277,2.99736708877788,8.64091225981948
2165,Estonia,EST,2014,1314531.0,23.0,0.2888969,3.7084172,3.3984056,0.52316594,0.16834277,4.012752411791269,7.376939787753161
2166,Estonia,EST,2015,1314658.0,23.4,0.28927213,3.6881266,3.3946989,0.52308995,0.1695642,1.76277753493862,6.771459210815819
2167,Estonia,EST,2015,1314658.0,23.4,0.28927213,3.6881266,3.3946989,0.52308995,0.1695642,2.29360968337315,5.7136100675804
2168,Estonia,EST,2016,1315928.0,23.8,0.2893697,3.6808605,3.3828745,0.523013,0.1709759,1.39898004074325,5.03462327467668
2169,Estonia,EST,2016,1315928.0,23.8,0.2893697,3.6808605,3.3828745,0.523013,0.1709759,1.82725015842008,4.38061589089205
2174,Eswatini,SWZ,1994,953745.0,7.6,0.21402954,4.191822,3.497338,0.5345071,0.13673443,97.09387858943734,99.24182879752654
2175,Eswatini,SWZ,1994,953745.0,7.6,0.21402954,4.191822,3.497338,0.5345071,0.13673443,98.22090222368332,99.27608861914324
2181,Eswatini,SWZ,2000,1030504.0,9.0,0.2151769,4.3135333,3.515982,0.5345802,0.13927065,85.40156097289892,93.61829775384416
2182,Eswatini,SWZ,2000,1030504.0,9.0,0.2151769,4.3135333,3.515982,0.5345802,0.13927065,89.51477568003085,93.7616888776063
2191,Eswatini,SWZ,2009,1094890.0,11.1,0.21606545,4.443495,3.4914153,0.53467935,0.14394149,82.25013762635118,92.93170873853796
2192,Eswatini,SWZ,2009,1094890.0,11.1,0.21606545,4.443495,3.4914153,0.53467935,0.14394149,87.21874806100107,93.1527346129538
2199,Eswatini,SWZ,2016,1142529.0,13.5,0.21702676,4.4373055,3.5268881,0.53467375,0.15063074,71.98100156894537,85.39572249871982
2200,Eswatini,SWZ,2016,1142529.0,13.5,0.21702676,4.4373055,3.5268881,0.53467375,0.15063074,78.13594618339495,85.63870895890871
2206,Ethiopia,ETH,1995,57476540.0,1.2,0.20600729,4.9973135,3.5783796,0.6144078,0.063301764,96.16791160469,98.67889007302176
2207,Ethiopia,ETH,1995,57476540.0,1.2,0.20600729,4.9973135,3.5783796,0.6144078,0.063301764,96.38393295743826,98.23872904145216
2211,Ethiopia,ETH,1999,65077584.0,1.5,0.2057021,5.011874,3.5819337,0.614427,0.061396994,97.46069020038944,99.45383647059288
2212,Ethiopia,ETH,1999,65077584.0,1.5,0.2057021,5.011874,3.5819337,0.614427,0.061396994,97.61598507634592,99.11655667844109
2217,Ethiopia,ETH,2004,75301024.0,1.9,0.2068425,4.916278,3.3823419,0.61447155,0.06199897,95.82358389062792,99.01701572344128
2218,Ethiopia,ETH,2004,75301024.0,1.9,0.2068425,4.916278,3.3823419,0.61447155,0.06199897,96.20667452229668,98.46160007254824
2224,Ethiopia,ETH,2010,89237800.0,2.7,0.20844227,4.7429996,3.3500054,0.61445826,0.067813896,93.56814101526652,98.62781834592464
2225,Ethiopia,ETH,2010,89237800.0,2.7,0.20844227,4.7429996,3.3500054,0.61445826,0.067813896,94.07739225409787,97.704326696717
2230,Ethiopia,ETH,2015,102471896.0,3.4,0.2111335,4.6068287,3.4316795,0.6144103,0.0777818,90.20407487654708,97.73604429703866
2231,Ethiopia,ETH,2015,102471896.0,3.4,0.2111335,4.6068287,3.4316795,0.6144103,0.0777818,90.90938088351416,96.39227419022484
2299,Fiji,FJI,2002,849897.0,20.7,0.29140016,2.9268856,3.9529135,0.27470747,0.0960219,42.30960006748724,76.36026939850969
2300,Fiji,FJI,2002,849897.0,20.7,0.29140016,2.9268856,3.9529135,0.27470747,0.0960219,44.94907932214025,67.50997847606
2306,Fiji,FJI,2008,896728.0,24.6,0.29379907,2.9101975,3.965485,0.2746926,0.09770518,37.33895996277103,74.02459497132287
2307,Fiji,FJI,2008,896728.0,24.6,0.29379907,2.9101975,3.965485,0.2746926,0.09770518,39.95987421746677,64.7394929469749
2312,Fiji,FJI,2013,913467.0,27.9,0.29359832,2.8998578,4.014303,0.2746855,0.099794894,35.8149958461522,72.9985896708
2313,Fiji,FJI,2013,913467.0,27.9,0.29359832,2.8998578,4.014303,0.2746855,0.099794894,38.60488631211273,63.24648466920452
2318,Finland,FIN,1991,5013856.0,13.8,0.26388997,4.8717923,4.1376133,0.90611815,0.43153802,0.24663867508746,0.74769848396068
2319,Finland,FIN,1991,5013856.0,13.8,0.26388997,4.8717923,4.1376133,0.90611815,0.43153802,0.24663867508746,0.49732292858708
2323,Finland,FIN,1995,5107942.0,15.8,0.26295134,4.7582684,3.7537785,0.9058067,0.43289095,0.2401948228604399,0.49422451643272
2324,Finland,FIN,1995,5107942.0,15.8,0.26295134,4.7582684,3.7537785,0.9058067,0.43289095,0.2401948228604399,0.2401948228604399
2329,Finland,FIN,2000,5176208.0,18.2,0.26385576,4.9543214,3.6003253,0.9055299,0.45447105,0.2468993677643199,0.74674001017929
2330,Finland,FIN,2000,5176208.0,18.2,0.26385576,4.9543214,3.6003253,0.9055299,0.45447105,0.2468993677643199,0.48997268424745
2333,Finland,FIN,2003,5212991.0,19.5,0.26335195,4.672733,3.615029,0.8963184,0.47473732,0.19579017545953,0.7376087054705
